date,actual,arima_forecast,arima_lower_95,arima_upper_95,sarima_forecast,sarima_lower_95,sarima_upper_95,prophet_forecast,prophet_lower_95,prophet_upper_95
2023-03-01,9638455.36,8523354.335235002,7280241.583510405,9766467.086959597,8322780.399794413,7311652.342126726,9333908.457462098,8920384.48046772,8267143.344261462,9565759.990644062
2023-04-01,10969150.22,9933339.460849375,8315487.376264888,11551191.545433862,10555918.626070658,9125967.61362105,11985869.638520265,11096563.944981571,10460178.885897532,11762687.474590074
2023-05-01,11175276.73,10586214.981195632,8706099.131380841,12466330.831010424,10995009.459162861,9243684.290323995,12746334.628001727,11624782.972356925,10996296.267941572,12196407.79571118
2023-06-01,10527946.07,9845997.76831972,7746957.420439735,11945038.116199706,9953355.074050749,7931098.9587153755,11975611.189386122,10404643.69804648,9663280.881017288,11099884.902770396
2023-07-01,8714925.53,8442309.08452186,6128518.180079188,10756099.988964532,8295271.4901796235,6034320.4192773495,10556222.561081897,8527869.82260553,7805522.144278508,9159148.457006216
2023-08-01,8637287.74,7747256.6379813645,5211067.838761114,10283445.437201615,7648562.706340581,5171814.900443305,10125310.512237858,8270537.67401286,7598896.366514856,8909236.199509589
2023-09-01,8893265.01,8434232.501140455,5683372.709550719,11185092.29273019,8644224.607651105,5969031.22342263,11319417.99187958,8932264.004089877,8298583.901598055,9605862.448101342
2023-10-01,10950800.96,9825577.025816409,6888988.846939715,12762165.204693103,10670536.394065354,7810634.3691661395,13530438.418964569,10892870.506186616,10229611.370219793,11520183.263194066
2023-11-01,11514923.29,10560977.570156412,7470622.39167163,13651332.748641195,11637399.635175839,8604015.46217278,14670783.808178898,11881777.862112636,11197788.979841668,12600609.560196055
2023-12-01,9441019.24,9927406.50305705,6698994.646136226,13155818.359977873,9425164.42310733,6227696.75477536,12622632.0914393,9904248.818498954,9208121.493498811,10543837.361274593
2024-01-01,8474224.77,8550390.969220292,5179597.628328397,11921184.310112186,7617962.44383426,4264430.061549706,10971494.826118814,8103998.251999173,7433901.816591078,8814991.567595491
2024-02-01,8258915.91,7776503.239489325,4250774.7035560105,11302231.77542264,7561105.222830213,4058454.885152479,11063755.560507946,7600473.9574309215,6928277.038728054,8283870.391191786
2024-03-01,9732743.62,8356593.286315785,4673674.943900079,12039511.628731491,8066835.080696538,4124361.3864858253,12009308.77490725,9287336.856646355,8603522.320469731,9936512.960441494
2024-04-01,11188465.92,9717352.017301945,5892638.155264966,13542065.879338924,10348042.860118391,6010112.677294676,14685973.042942107,10802428.028278656,10035686.512669045,11555978.677818395
2024-05-01,11279745.92,10527837.4323376,6582624.147138874,14473050.717536326,10747995.951621734,6047764.285782005,15448227.617461462,11162583.9122259,10433637.178758366,11836026.482797656
2024-06-01,10619864.3,10001218.79808073,5946715.568753786,14055722.027407672,9694251.943872776,4657713.732554208,14730790.155191343,10508538.946472142,9729563.13037681,11236937.511467425
2024-07-01,8921532.24,8658585.603451394,4490706.252569757,12826464.95433303,8059683.483301141,2707930.8175306497,13411436.149071634,8891831.168771738,8125040.838027012,9579231.891540209
2024-08-01,8497347.97,7813417.109919793,3520449.0486895954,12106385.171149991,7378099.38739643,1728692.6896014223,13027506.085191436,8542995.589263117,7720802.188587513,9278968.7428522
2024-09-01,9378349.71,8286658.269458532,3863983.6360647203,12709332.902852345,8400045.929853868,2467901.673465575,14332190.18624216,9059153.126101816,8315059.983008774,9781629.667746546
2024-10-01,11611698.34,9609358.202514414,5067095.201559314,14151621.203469515,10448579.189527139,4246573.472010415,16650584.907043863,10929790.014194975,9992099.419788783,11761096.160023011
2024-11-01,12771201.17,10487273.521350909,5842054.408089334,15132492.634612484,11418373.228322603,4957768.42988309,17878978.026762117,11570428.431458704,10574271.66160226,12431226.39786953
2024-12-01,10297070.13,10067233.177548937,5328564.285521513,14805902.069576362,9161733.074983994,2452489.1680203183,15870976.981947668,9759596.457440639,8839107.164169952,10583161.355114425
